COD. PRODUCTO,AÑO,MES,MES NUMERO,DESCRIPCION,CATEGORIA,UNIDADES VENDIDAS, VALOR ,INVENTARIO FINAL,
122083,2023,Enero,1,DOBLE O CARTA 2.1    9 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,52,1563000, 258 ,
122084,2023,Enero,1,DOBLE O CARTA 2.1    9 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,0,0, 248 ,
122085,2023,Enero,1,DOBLE O CARTA 2.1   12 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,40,1680000, 39 ,
122086,2023,Enero,1,DOBLE O CARTA 2.1   12 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,0,0, 235 ,
122087,2023,Enero,1,DOBLE O CARTA 2.1   14 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,1,58000, 267 ,
122088,2023,Enero,1,DOBLE O CARTA 2.1   14 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,1,52200, 225 ,
122089,2023,Enero,1,DOBLE O CARTA 2.1   16 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,12,418000, 390 ,
122090,2023,Enero,1,DOBLE O CARTA 2.1   16 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,4,136800, 329 ,
122091,2023,Enero,1,DOBLE O CARTA 2.1   19 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,14,585000, 342 ,
122112,2023,Enero,1,DOBLE O CARTA 2.1   19 MM  CAJA X 50 BRONCE,ANILLO DOBLE O,0,0, -   ,
122092,2023,Enero,1,DOBLE O CARTA 2.1   19 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,9,375750, 359 ,
122093,2023,Enero,1,DOBLE O CARTA 2.1   22 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,15,855500, 253 ,
122094,2023,Enero,1,DOBLE O CARTA 2.1   22 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,3,165200, 78 ,
122095,2023,Enero,1,DOBLE O CARTA 2.1   25 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,1,71500, 313 ,
122096,2023,Enero,1,DOBLE O CARTA 2.1   25 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,2,128700, 218 ,
122097,2023,Enero,1,DOBLE O CARTA 2.1   28 MM  CAJA X 30 BLANCO,ANILLO DOBLE O,1,71500, 400 ,
122098,2023,Enero,1,DOBLE O CARTA 2.1   28 MM  CAJA X 30 NEGRO,ANILLO DOBLE O,2,128700, 357 ,
122099,2023,Enero,1,DOBLE O CARTA 2.1   32 MM  CAJA X 30 BLANCO,ANILLO DOBLE O,1,79000, 358 ,
122100,2023,Enero,1,DOBLE O CARTA 2.1   32 MM  CAJA X 30 NEGRO,ANILLO DOBLE O,2,142200, 182 ,
122101,2023,Enero,1,DOBLE O CARTA 3.1    8 MM   CAJA X 100 BLANCO,ANILLO DOBLE O,30,803250, 362 ,
122102,2023,Enero,1,DOBLE O CARTA 3.1    8 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,0,0, 288 ,
122103,2023,Enero,1,DOBLE O CARTA 3.1    9 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,25,810000, 322 ,
122104,2023,Enero,1,DOBLE O CARTA 3.1    9 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,11,380000, 224 ,
122105,2023,Enero,1,DOBLE O CARTA 3.1   11 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,6,288000, 426 ,
122106,2023,Enero,1,DOBLE O CARTA 3.1   11 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,5,214625, 210 ,
122108,2023,Enero,1,DOBLE O CARTA 3.1   12 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,3,153000, 754 ,
122107,2023,Enero,1,DOBLE O CARTA 3.1   12 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,4,197950, 265 ,
122109,2023,Enero,1,DOBLE O CARTA 3.1   12 MM  CAJA X 100 PLATA,ANILLO DOBLE O,0,0, 182 ,
122110,2023,Enero,1,DOBLE O CARTA 3.1   14 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,0,0, 280 ,
122111,2023,Enero,1,DOBLE O CARTA 3.1   14 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,4,264550, 273 ,
111001,2023,Enero,1,ROLLO 113 MM X 60 MTS 175 MICRAS,LAMINACION,31,899580," 1,379 ",
111002,2023,Enero,1,ROLLO 113 MM X 60 MTS 250 MICRAS,LAMINACION,34,1413720, 376 ,
111003,2023,Enero,1,ROLLO 226 MM X 60 MTS 125 MICRAS,LAMINACION,437,19347980, 612 ,
111004,2023,Enero,1,ROLLO 226 MM X 60 MTS 175 MICRAS,LAMINACION,0,0, 162 ,
111005,2023,Enero,1,ROLLO 226 MM X 60 MTS 250 MICRAS,LAMINACION,0,0, -   ,
111007,2023,Enero,1,ROLLO 300 MM X 60 MTS 125 MICRAS,LAMINACION,0,0, -   ,
111008,2023,Enero,1,ROLLO 300 MM X 60 MTS 250 MICRAS,LAMINACION,17,1992000, 55 ,
111018,2023,Enero,1,ROLLO 350 MM X 60 MTS 250 MICRAS,LAMINACION,0,0, 324 ,
111010,2023,Enero,1,ROLLO 375 MM X 60 MTS 125 MICRAS,LAMINACION,4,310000, 212 ,
111013,2023,Enero,1,ROLLO 375 MM X 75 MTS 75 MICRAS MATTE,LAMINACION,0,0, 134 ,
111014,2023,Enero,1,ROLLO 450 MM X 75 MTS 75 MICRAS BRILLANTE,LAMINACION,1,78100, 33 ,
111015,2023,Enero,1,ROLLO 450 MM X 75 MTS 75 MICRAS MATTE,LAMINACION,0,0, 97 ,
111019,2023,Enero,1,ROLLO 540 MM X 60 MTS 125 MICRAS,LAMINACION,0,0, -   ,
111020,2023,Enero,1,ROLLO 540 MM X 60 MTS 175 MICRAS,LAMINACION,0,0, -   ,
111016,2023,Enero,1,ROLLO 680 MM X 60 MTS 125 MICRAS BRILLANTE,LAMINACION,16,3326400, 166 ,
112001,2023,Enero,1,ROLLO BOPP BRILLANTE 250 MM X 4000 MT 18 MIC,PLASTIFICACION,10,3471500, 24 ,
112002,2023,Enero,1,ROLLO BOPP BRILLANTE 300 MM X 4000 MT 18 MIC,PLASTIFICACION,5,2159300, 109 ,
112003,2023,Enero,1,ROLLO BOPP BRILLANTE 330 MM X 200 MT 23 MIC,PLASTIFICACION,10,548800, -   ,
112006,2023,Enero,1,ROLLO BOPP BRILLANTE 345 MM X 4000 MT 18 MIC,PLASTIFICACION,29,14044730, 137 ,
112026,2023,Enero,1,ROLLO BOPP BRILLANTE 400 MM X 4000 MT 18 MIC,PLASTIFICACION,6,3343200, 107 ,
112007,2023,Enero,1,ROLLO BOPP BRILLANTE 445 MM X 4000 MT 18 MIC,PLASTIFICACION,8,4885670, 11 ,
112029,2023,Enero,1,ROLLO BOPP BRILLANTE 495 MM X 2000 MT 18 MIC,PLASTIFICACION,2,633600, 64 ,
112008,2023,Enero,1,ROLLO BOPP BRILLANTE 495 MM X 4000 MT 18 MIC,PLASTIFICACION,38,25536940, 44 ,
112028,2023,Enero,1,ROLLO BOPP BRILLANTE 595 MM X 4000 MT 18 MIC,PLASTIFICACION,5,3192000, 44 ,
112009,2023,Enero,1,ROLLO BOPP BRILLANTE 695 MM X 4000 MT 18 MIC,PLASTIFICACION,0,0, -   ,
112024,2023,Enero,1,ROLLO BOPP MATE 200 MM X 4000 MT 18 MIC,PLASTIFICACION,0,0, -   ,
112010,2023,Enero,1,ROLLO BOPP MATE 250 MM X 4000 MT 18 MIC,PLASTIFICACION,14,4662760, 65 ,
112011,2023,Enero,1,ROLLO BOPP MATE 300 MM X 4000 MT 18 MIC,PLASTIFICACION,18,7244740, 85 ,
